,artist,title,text
0,Westlife , Beautiful In White,"Not sure if you know this But when we first met I got so nervous I couldn't speak In that very moment I found the one and My life had found its missing pieceSo as long as I live I'll love you Will have and hold you You look so beautiful in white And from now to my very last breath This day I'll cherish You look so beautiful in white TonightWhat we have is timeless My love is endless And with this ring I say to the world You're my every reason You're all that I believe in With all my heart I mean every wordSo as long as I live I'll love you Will have and hold you You look so beautiful in white And from now to my very last breath This day I'll cherish You look so beautiful in white TonightOh, oh You look so beautiful in white Na na na na na So beautiful in white TonightAnd if our daughter's what our future holds I hope she has your eyes Finds love like you and I did, yeah. When she falls in love we let her go I'll walk her down the aisle She'll look so beautiful in white...You look so beautiful in whiteSo as long as I live I'll love you Will have and hold you You look so beautiful in white And from now to my very last breath This day I'll cherish You look so beautiful in white TonightYou look so beautiful in white tonight."
1,Luis Fonsi , Despacito,"[Luis Fonsi & Daddy Yankee:] ¡Ay! ¡Fonsi! ¡D.Y.!Ohhh Oh, no, oh, no Oh Hey, yeah!Diridiri dirididi DaddyGo![Luis Fonsi:] Si, sabes que ya llevo un rato mirándote Tengo que bailar contigo hoy [Daddy Yankee:] (¡D.Y.!) Vi que tu mirada ya estaba llamándome Muéstrame el camino que yo voy, oh[Luis Fonsi:] Tú, tú eres el imán y yo soy el metal Me voy acercando y voy armando el plan Sólo con pensarlo se acelera el pulso[Daddy Yankee:] (Oh, yeah) Ya, ya me está gustando más de lo normal Todos mis sentidos van pidiendo más Esto hay que tomarlo sin ningún apuro[Luis Fonsi:] Des-pa-cito Quiero respirar tu cuello despacito Deja que te diga cosas al oído Para que te acuerdes si no estás conmigo Des-pa-cito Quiero desnudarte a besos despacito Firmo en las paredes de tu laberinto Y hacer de tu cuerpo todo un manuscrito[Daddy Yankee:] Sube, sube, sube Sube, sube[Luis Fonsi (Daddy Yankee):] Quiero ver bailar tu pelo Quiero ser tu ritmo Que le enseñes a mi boca Tus lugares favoritos (Favorito, favorito, baby) Déjame sobrepasar tus zonas de peligro Hasta provocar tus gritos Y que olvides tu apellido[Daddy Yankee:] Si te pido un beso ven dámelo Yo sé que estás pensándolo Llevo tiempo intentándolo Mami, esto es dando y dándolo Sabes que tu corazón conmigo te hace bang-bang Sabes que esa beba está buscando de mi bang-bang Ven prueba de mi boca para ver cómo te sabe Quiero, quiero, quiero ver cuánto amor a ti te cabe Yo no tengo prisa, yo me quiero dar el viaje Empecemos lento, después salvajePasito a pasito, suave suavecito Nos vamos pegando, poquito a poquito Cuando tú me besas con esa destreza Veo que eres malicia con delicadezaPasito a pasito, suave suavecito Nos vamos pegando, poquito a poquito Y es que esa belleza es un rompecabezas Pero pa' montarlo aquí tengo la pieza ¡Oye![Luis Fonsi:] Des-pa-cito Quiero respirar tu cuello despacito Deja que te diga cosas al oído Para que te acuerdes si no estás conmigo Des-pa-cito Quiero desnudarte a besos despacito Firmo en las paredes de tu laberinto Y hacer de tu cuerpo todo un manuscrito[Daddy Yankee:] Sube, sube, sube Sube, sube[Luis Fonsi (Daddy Yankee):] Quiero ver bailar tu pelo Quiero ser tu ritmo Que le enseñes a mi boca Tus lugares favoritos (Favorito, favorito, baby) Déjame sobrepasar tus zonas de peligro Hasta provocar tus gritos Y que olvides tu apellido[Luis Fonsi:] Des-pa-cito Vamo' a hacerlo en una playa en Puerto Rico Hasta que las olas griten ""¡Ay, Bendito!"" Para que mi sello se quede contigo ¡Bailalo![Daddy Yankee:] Pasito a pasito, suave suavecito Nos vamos pegando, poquito a poquito [Luis Fonsi:] Que le enseñes a mi boca Tus lugares favoritos [Daddy Yankee:] Favorito, favorito, baby Pasito a pasito, suave suavecito Nos vamos pegando, poquito a poquito [Luis Fonsi (Daddy Yankee):] Hasta provocar tus gritos (Fonsi) Y que olvides tu apellido (D.Y.) Des-pa-cito"
2,Zayn Malik , Too Much,"[Verse 1: ZAYN] Looking right and the time flied I took a day just a while back Think we fucked in the flashback Only my mind kinda sidetracked Found good, but now I feel bad Like I know I can't take it back No, there's nothin' I can say[Pre-Chorus: Timbaland] Must be an addiction I wanted it all, didn't expect it to fall Must be an affliction I wanted to call, but I didn't call Now it's keeping me up night 'n day Keeping me up like night 'n day Must be an addiction Now there's nothing I can't say but[Chorus: ZAYN & Timbaland] I guess I want too much (too much) I just want to love you now (too much) You just can't love me back (yeah) This is why I need a touch That's why I need a touch (yeah) That's why I need a touch That's why I need a touch (yeah) This is why I need a touch[Verse 2: ZAYN] I never meant to but I did though I gotta keep it on the d-low Then again, what the fuck do I know? You're always on my mind, so Found good, but now I feel bad Like I know I can't take it back No, there's nothin' I can say[Pre-Chorus: Timbaland] Must be an addiction I wanted it all, didn't expect it to fall Must be an affliction I wanted to call, but I didn't call Now it's keeping me up like that Keeping me up like that Must be an addiction Now there's nothing I can't say but[Chorus: ZAYN & Timbaland] I guess I want too much (too much) I just want to love you now (too much) You just can't love me back (yeah) This is why I need a touch That's why I need a touch (yeah) That's why I need a touch That's why I need a touch (yeah) This is why I need a touch[Bridge: ZAYN] When the room becomes a game we play When lights, they seem to turn to snakes I guess I'll turn your back Say white lights, between your face You know I love my place Nothing I can say Nothing I can say (nothing I can say)[Chorus: ZAYN & Timbaland] I guess I want too much (too much) I just want to love you now (too much) You just can't love me back (yeah) This is why I need a touch That's why I need a touch (yeah) That's why I need a touch That's why I need a touch (yeah) That's why I need a touch"
3,The Carpenters , Close To You,"Why do birds suddenly appear, ev'ry time you are near? Just like me, they long to be close to you. Why do stars fall down from the sky, ev'ry time you walk by? Just like me, they long to be close to you.On the day that you were born the angels got together. And decided to create a dream come true. So, they sprinkled moon dust in your hair of gold And star-light in your eyes of blue. That is why all the girls in town follow you all around. Just like me, they long to be close to you...On the day that you were born the angels got together. And decided to create a dream come true. So, they sprinkled moon dust in your hair of gold And star-light in your eyes of blue. That is why all the girls in town follow you all around. Just like me, they long to be close to you... Just like me, they long to be close to you..."
4,Christina Perri , A Thousand Years,"Heart beats fast Colors and promises How to be brave? How can I love when I'm afraid to fall? But watching you stand alone All of my doubt suddenly goes away somehow One step closer I have died every day waiting for you Darling, don't be afraid I have loved you For a thousand years I'll love you for a thousand more Time stands stillBeauty in all she isI will be brave I will not let anything take away What's standing in front of me Every breath Every hour has come to this One step closer I have died every day waiting for youDarling, don't be afraid I have loved you For a thousand years I'll love you for a thousand more And all along I believed I would find you Time has brought your heart to me I have loved you for a thousand years I'll love you for a thousand more One step closerOne step closerI have died every day waiting for you Darling don't be afraid I have loved you For a thousand years I'll love you for a thousand more And all along I believed I would find you Time has brought your heart to me I have loved you for a thousand years I'll love you for a thousand more"
5,Grease , Summer Nights,"Summer lovin' had me a blast Summer lovin' happened so fast I met a girl crazy for me Met a boy cute as can be Summer days driftin' away To ah, oh, those summer nightsUh well-a well-a well-a huh!Tell me more, tell me more Did you get very far? Tell me more, tell me more Like does he have a car? Uh-huh uh-huh uh-huh uh-huhShe swam by me, she got a cramp He ran by me, got my suit damp I saved her life, she nearly drowned He showed off, splashing around Summer sun, something's begun But ah, oh, those summer nightsUh well-a well-a well-a huh!Tell me more, tell me more Was it love at first sight? Tell me more, tell me more Did she put up a fight?Uh-huh uh-huh uh-huh uh-huhTook her bowling in the arcade We went strolling, drank lemonade We made out under the dock We stayed out 'til ten o'clock Summer fling, don't mean a thing But ah, oh, those summer nightsWhoa, whoa, whoa!Tell me more, tell me more But you don't gotta brag Tell me more, tell me more 'Cause he sounds like a dragShoo-bop bop, shoo-bop bop, shoo-bop bop, shoo-bop bop Shoo-bop bop, shoo-bop bop, shoo-bop bop, yeah!He got friendly, holding my hand Well, she got friendly down in the sand He was sweet, just turned eighteen Well, she was good, you know what I mean Summer heat, boy and girl meet But ah, oh, those summer nightsWhoa, whoa, whoa! Tell me more, tell me more How much dough did he spend? Tell me more, tell me more Could she get me a friend? It turned colder, that's where it ends So I told her we'd still be friends Then we made our true love vow Wonder what she's doing now Summer dreams ripped at the seams But oh, those summer nights... Tell me more, tell me more..."
6,Judika , Jikalau Kau Cinta,"Jikalau kau cinta Benar benar cinta Jangan katakan kau tidak cinta Jikalau kau sayang Benar benar sayang Tak hanya kata atau rasa kau harus tunjukan Jangan sampai hingga perpisahan tiba Dan semua yang tersisa hanyalah air mata Hanya air mata Mungkin saja cinta kan menghilang selamanya Dan semua yang tersisa hanyalah air mata Hanya air mata cintaJikalau kau sayang benar benar sayang Tak hanya kata atau rasa kau harus tunjukan Oooo wooo oooo wooo Percayalah Kemanapun kau acuh cinta tak pernah rapuh Berpaling pun tak mampu hilangkan cinta percayalahJangan sampai hingga waktu perpisahan tiba Dan semua yang tersisa hanyalah air mata Hanya air mata Mungkin saja cinta kan menghilang selamanya dan semua yang tersisa hanyalah air mata Hanya air mata, hanya air mata, hanya air mata Cinta"
7,KAILASH KHER , Teri Deewani,Preet ki lath mohe aaisi laagi ho gayi main matwaali bal bal jaaun apane piya ko he main jaaun vaari vaariMohe sudh budh naa rahi tan mann ki yeh toh jaane duniya saari bebas aur laachar phiru main haari main dil haarihaari main dil haariTere naam se jee loon tere naam se marr jaaun tere naam se jee loon tere naam se marr jaaun teri jaan ke sadke mein kuchh aaisa kar jaaun tune kya kar dala marr gayi main mitt gayi main ho ri ha ri ho gayi main teri deewani deewani teri deewani deewani tune kya kar dala marr gayi main mitt gayi main ho gee ha gee ho gayi mainteri deewani deewani teri deewani deewaniIshq junoon jab hadh se badh jaaye Ishq junoon jab hadh se badh jaaye haste haste aashiq suli chadh jaaye ishq ka jaadu sara chadha kara bole ishq ka jaadu sara chadha kara bole khoob laga lo pehre raste rab khole yahi ishq di marzi hain yahi rab di marzi hain yahi ishq di marzi hain yahi rab di marzi hain tere bin jeena kaisa haan khudgarzi hai tune kya kar dala marr gayi main mitt gayi main ho ri ha ri ho gayi main teri deewani deewaniteri deewani deewaniteri deewani deewani teri deewani deewanihe main rang rangeeli deewaniHe main rang rangeeli deewani ke main albeli main mastani gaaun bajaaun sabko rijhaaun he main deen dhram se begaani ke main deewani main deewani tere naam se jee loon tere naam se marr jaaun tere jaan ke sadle mein kuchh aaisa kar jaaun tune kya kar dala marr gayi main mitt gayi main ho ri ha ri ho gayi main teri deewani deewani teri deewani deewani teri deewani deewani teri deewani deewani...
8,Ran , Dekat Di Hati,"Dering telponku membuatku tersenyum di pagi hari Kau bercerita semalam kita bertemu dalam mimpi Entah mengapa aku merasakan hadirmu di sini Tawa candamu menghibur saat ku sendiri Aku di sini dan kau di sana Hanya berjumpa via suara Namun ku slalu menunggu Saat kita akan berjumpaMeski kau kini jauh di sana Kita memandang langit yang sama Jauh di mata namun dekat di hatiDering telfonku membuatku tersenyum di pagi hari Tawa candamu menghibur saat ku sendiriAku di sini dan kau di sana Hanya berjumpa via suara Namun ku selalu menunggu Saat kita akan berjumpaMeski kau kini jauh di sana Kita memandang langit yang sama Jauh di mata namun dekat di hatiAku di sini dan kau di sana Hanya berjumpa via suara Namun ku selalu menunggu Saat kita akan berjumpaMeski kau kini jauh di sana Kita memandang langit yang sama Jauh di mata namun kau dekat di hatiJarak dan waktu takkan berarti Karena kau akan selalu di hati Bagai detak jantung yang ku bawa Kemanapun ku pergi oh oh oh Meski kau kini jauh di sana Kita memandang langit yang sama Jauh di mata namun dekat di hati Dekat di hati, dekat di hati"
9,BIGBANG ," Warm Kitty, Soft Kitty (Sheldon's Lullaby Sick Song) Instrumental Version","Soft kitty, warm kitty Little ball of furHappy kitty, sleepy kitty Purr, purr, purr"
